Protein	hpt_T1_rep1	hpt_T1_rep2	hpt_T1_rep3	hpt_T1_rep4	hpt_T2_rep1	hpt_T2_rep2	hpt_T2_rep3	hpt_T2_rep4	hpt_T3_rep1	hpt_T3_rep2	hpt_T3_rep3	hpt_T3_rep4
WP_003516517.1	26.66818	25.79712	26.69046	25.94531	25.69865	26.51243	26.69759	26.25442	25.89972	24.69686	25.6562	26.08709
WP_003511604.1	25.38168	24.24381	25.1813	24.98338	24.90231	27.80721	25.0163	24.8525	24.03434	24.32841	24.21351	24.85459
WP_003520966.1	20.89848	18.52668	27.79613	25.88253	25.84995	26.39247	26.50238	20.01341	26.93346	26.58382	24.88342	26.64094
WP_003514612.1	24.74377	23.64453	24.83042	23.35239	21.10684	24.97617	26.38391	18.09285	26.41141	24.50009	24.78859	23.43446
WP_003516370.1	20.0594	20.02074	20.53058	19.12016	19.85522	20.14468	19.66127	21.41166	21.77561	20.94621	20.93799	20.04976
WP_003515370.1	24.90643	24.65359	25.42879	25.18316	26.25851	25.52762	25.72515	25.87677	26.43476	26.35208	27.13773	25.20378
WP_003517410.1	19.36533	21.63429	19.24193	20.15402	19.73967	18.65821	19.54214	19.0062	21.61094	17.76509	21.18469	20.06749
WP_003511659.1	18.55112	23.75313	20.25776	22.43106	20.61782	20.12632	20.44755	20.04397	21.00038	21.21972	20.64618	18.18952
WP_003511606.1	23.44071	22.15661	23.6654	23.30845	23.11856	23.07442	23.16169	22.81075	23.22227	22.81456	21.98351	21.96295
WP_003511546.1	22.41894	23.80501	23.67111	18.66987	24.0389	23.13586	23.33694	22.65694	22.92078	18.71581	18.20537	22.91126
WP_003513956.1	27.12683	27.16021	27.35307	26.56137	26.59926	26.2235	26.36028	26.20479	26.37608	26.68711	26.32929	26.53884
WP_003517046.1	28.48698	19.24522	29.13218	29.39197	28.92188	29.48721	29.06283	19.96981	19.66385	25.68696	28.97201	27.87062
WP_003517976.1	24.35253	23.47839	23.14293	24.74846	24.56309	22.77907	23.85112	24.31957	24.51006	24.56745	23.63638	24.2433
