C0 (205 genes)	C1 (144 genes)	C2 (75 genes)	C3 (77 genes)	C4 (94 genes)	C5 (136 genes)	C6 (183 genes)	C7 (90 genes)	C8 (93 genes)	C9 (64 genes)	C10 (65 genes)
WP_003517800.1						WP_003518724.1				
WP_003517824.1						WP_003519012.1				
WP_003517840.1						WP_003519037.1				
WP_003517951.1						WP_003519075.1				
WP_003517971.1						WP_003519106.1				
WP_003518001.1						WP_003519138.1				
WP_003518002.1						WP_003519170.1				
WP_003518007.1						WP_003519202.1				
WP_003518120.1						WP_003519204.1				
WP_003518177.1						WP_003519241.1				
WP_003518182.1						WP_003519286.1				
WP_003518220.1						WP_003519383.1				
WP_003518229.1						WP_003519427.1				
WP_003518280.1						WP_003519431.1				
WP_003518386.1						WP_003519444.1				
WP_003518476.1						WP_003519476.1				
WP_003518601.1						WP_003519663.1				
WP_003518605.1						WP_003520408.1				
WP_003518607.1						WP_003520929.1				
WP_003518614.1						WP_003520957.1				
WP_003518637.1						WP_003520969.1				
WP_003518642.1						WP_003521200.1				
WP_003518677.1						WP_003521232.1				
WP_003518741.1						WP_003521330.1				
WP_003518755.1						WP_004463183.1				
WP_003518868.1						WP_004463712.1				
WP_003519032.1						WP_004463813.1				
WP_003519056.1						WP_014522596.1				
WP_003519057.1						WP_014522599.1				
WP_003519067.1						WP_020458025.1				
WP_003519085.1										
WP_003519111.1										
WP_003519133.1										
WP_003519194.1										
WP_003519233.1										
WP_003519332.1										
WP_003519426.1										
WP_003519433.1										
WP_003519477.1										
WP_003519478.1										
WP_003519558.1										
WP_003520339.1										
WP_003520552.1										
WP_003520602.1										
WP_003520661.1										
WP_003520919.1										
WP_003520986.1										
WP_003521100.1										
WP_003521240.1										
WP_011837932.1										
WP_014522613.1										
WP_037294838.1										
