ProteinID	GO
WP_003512006.1	GO:0004803,GO:0006313,GO:0003677
WP_003512010.1	GO:0005737,GO:0001123,GO:0003700,GO:0016021,GO:0016987,GO:0006355,GO:2000142,GO:0006352,GO:0003677,GO:0003899
WP_003512012.1	GO:0017038,GO:0016020,GO:0006605,GO:0003677,GO:0005524
WP_003512015.1	GO:0051536,GO:0016699,GO:0010181,GO:0005506,GO:0055114
WP_003512017.1	GO:0016021
WP_003512019.1	GO:0005737,GO:0043565,GO:0051287,GO:0016021,GO:0044464,GO:0005623,GO:0006476,GO:0005575,GO:0006355,GO:0016740,GO:0034979,GO:0070403,GO:0044424,GO:0005622,GO:0008270
WP_003512020.1	GO:0000413,GO:0006457,GO:0016021,GO:0003755
WP_003512022.1	GO:0005737,GO:0016787,GO:0006529,GO:0070981,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0005524,GO:0044424,GO:0004071
WP_003512025.1	GO:0034645,GO:0019752,GO:0090304,GO:0044249,GO:0034641,GO:0006807,GO:0003674,GO:0005623,GO:0003676,GO:0034660,GO:0005622,GO:1901360,GO:0005737,GO:0006139,GO:0044710,GO:0004812,GO:0044260,GO:0004816,GO:0006520,GO:0000166,GO:0071704,GO:0010467,GO:0006421,GO:0005524,GO:0044267,GO:0009987,GO:0006725,GO:0003824,GO:0009058,GO:0009059,GO:0008150,GO:0008152,GO:0043436,GO:0016874,GO:0016875,GO:0016876,GO:0046483,GO:0016070,GO:0044238,GO:1901564,GO:0006082,GO:0019538,GO:0044464,GO:0044237,GO:0043170,GO:0005575,GO:0006399,GO:0043038,GO:0043039,GO:0006418,GO:0044424,GO:1901576,GO:0006412,GO:0044281
WP_003512026.1	GO:0005179,GO:0030248,GO:0005975,GO:0008810,GO:0016162,GO:0016021,GO:0030247,GO:0030246,GO:0030245,GO:0102252,GO:0003824,GO:0005576,GO:0007165,GO:0004553,GO:0046872
WP_003512028.1	GO:0016021,GO:0003677
WP_003512034.1	GO:0016021
WP_003512038.1	GO:0016021
WP_003512048.1	GO:0005737,GO:0103045,GO:0004042,GO:0043231,GO:0004358,GO:0044464,GO:0006526,GO:0005623,GO:0005622,GO:0005575,GO:0070013,GO:0044424
WP_003512050.1	GO:0004176,GO:0005737,GO:0004252,GO:0043565,GO:0034605,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0030163,GO:0006515,GO:0044424,GO:0006508,GO:0016021,GO:0005524
WP_003512062.1	GO:0071944,GO:0022402,GO:0003677,GO:0044699,GO:0005737,GO:0008080,GO:0005618,GO:0016021,GO:0008150,GO:0051301,GO:0009987,GO:0030312,GO:0008173,GO:0009117,GO:0001510,GO:0047429,GO:0036218,GO:0035529,GO:0000910,GO:0007049,GO:0044464,GO:0005623,GO:0005622,GO:0005575,GO:0044424,GO:0044763,GO:0006396
WP_003512069.1	GO:0016021,GO:0008360
WP_003512072.1	GO:0000902,GO:0000917,GO:1901891,GO:0016829,GO:0051726,
WP_003512074.1	GO:0016887,GO:0051301
WP_003512076.1	GO:0032955,GO:0051301,GO:0007049
