Protein	Locus
ADU74719.1	Clo1313_1662
ADU74164.1	Clo1313_1100
WP_003512826.1	Clo1313_0269
WP_003519111.1	Clo1313_1025
WP_003517438.1	Clo1313_1018
WP_003514829.1	Clo1313_0591
ADU75763.1	Clo1313_2779
WP_003518031.1	Clo1313_2081
WP_003511787.1	Clo1313_0745
ADU73391.1	Clo1313_0300
WP_003514835.1	Clo1313_0588
WP_003519092.1	Clo1313_1889
WP_003512284.1	Clo1313_2031
ADU75890.1	Clo1313_2910
WP_003518725.1	Clo1313_1405
WP_003514730.1	Clo1313_0511
ADU74265.1	Clo1313_1201
ADU73440.1	Clo1313_0350
WP_003515521.1	Clo1313_1234
WP_003513854.1	Clo1313_2579
WP_003515565.1	Clo1313_1210
WP_003516188.1	Clo1313_1524
ADU74455.1	Clo1313_1392
WP_003517352.1	Clo1313_2337
ADU74364.1	Clo1313_1301
ADU74486.1	Clo1313_1424
WP_003518053.1	Clo1313_2060
ADU74621.1	Clo1313_1559
ADU73384.1	Clo1313_0293
ADU73809.1	Clo1313_0731
WP_003512117.1	Clo1313_2121
ADU74705.1	Clo1313_1648
ADU75993.1	Clo1313_3015
WP_003516196.1	Clo1313_1520
WP_003517461.1	Clo1313_1006
ADU73514.1	Clo1313_0425
WP_003512336.1	Clo1313_2006
WP_003517401.1	Clo1313_2305
ADU75316.1	Clo1313_2287
ADU74988.1	Clo1313_1940
ADU74009.1	Clo1313_0941
WP_003511673.1	Clo1313_0692
ADU73992.1	Clo1313_0924
WP_003515579.1	Clo1313_1203
WP_003518486.1	Clo1313_2924
ADU74350.1	Clo1313_1287
WP_003517304.1	Clo1313_2361
ADU74091.1	Clo1313_1023
ADU74977.1	Clo1313_1927
WP_003518358.1	Clo1313_0116
WP_003516566.1	Clo1313_1597
ADU76009.1	Clo1313_3031
ADU73529.1	Clo1313_0440
WP_003512148.1	Clo1313_2104
WP_003515989.1	Clo1313_2412
ADU74624.1	Clo1313_1563
ADU73411.1	Clo1313_0320
WP_003513973.1	Clo1313_2641
WP_003514673.1	Clo1313_0471
WP_003514797.1	Clo1313_0604
ADU73521.1	Clo1313_0432
WP_003513773.1	Clo1313_2534
ADU74968.1	Clo1313_1917
ADU74117.1	Clo1313_1049
ADU75794.1	Clo1313_2814
ADU73680.1	Clo1313_0598
WP_003515048.1	Clo1313_2665
WP_003517911.1	Clo1313_1772
ADU75471.1	Clo1313_2457
WP_003511606.1	Clo1313_0654
WP_003517280.1	Clo1313_1304
WP_003512803.1	Clo1313_0278
WP_003518955.1	Clo1313_2204
WP_003512062.1	Clo1313_2144
WP_003518524.1	Clo1313_0486
ADU74138.1	Clo1313_1074
ADU73988.1	Clo1313_0920
WP_003514124.1	Clo1313_2718
WP_003517979.1	Clo1313_1738
WP_003511531.1	Clo1313_0619
WP_003520919.1	Clo1313_1335
ADU75443.1	Clo1313_2429
ADU75828.1	Clo1313_2848
WP_003519285.1	Clo1313_1929
WP_003513028.1	Clo1313_0144
ADU73279.1	Clo1313_0184
WP_003519418.1	Clo1313_0516
ADU75111.1	Clo1313_2070
ADU74809.1	Clo1313_1752
WP_003517075.1	Clo1313_0905
WP_003516029.1	Clo1313_2390
WP_003514204.1	Clo1313_2756
WP_003516403.1	Clo1313_0089
WP_003518516.1	Clo1313_0498
ADU75536.1	Clo1313_2532
ADU74611.1	Clo1313_1549
ADU75467.1	Clo1313_2453
WP_003514223.1	Clo1313_2770
ADU73271.1	Clo1313_0176
WP_003512035.1	Clo1313_2154
ADU75364.1	Clo1313_2342
WP_003513012.1	Clo1313_0161
ADU75752.1	Clo1313_2768
WP_003513233.1	Clo1313_0052
WP_003520699.1	Clo1313_2374
ADU75179.1	Clo1313_2138
WP_003513458.1	Clo1313_2971
ADU73336.1	Clo1313_0242
ADU74319.1	Clo1313_1256
ADU73146.1	Clo1313_0047
WP_003515828.1	Clo1313_2478
ADU74835.1	Clo1313_1778
WP_003515489.1	Clo1313_0152
ADU75855.1	Clo1313_2875
ADU75544.1	Clo1313_2540
ADU73450.1	Clo1313_0360
ADU75849.1	Clo1313_2869
ADU74829.1	Clo1313_1772
WP_003521725.1	Clo1313_0612
ADU73793.1	Clo1313_0715
WP_003519033.1	Clo1313_1802
ADU75250.1	Clo1313_2212
ADU74451.1	Clo1313_1388
WP_003521200.1	Clo1313_0825
WP_003519460.1	Clo1313_0822
ADU73253.1	Clo1313_0157
ADU74596.1	Clo1313_1534
WP_003515591.1	Clo1313_1195
ADU75841.1	Clo1313_2861
ADU74967.1	Clo1313_1916
WP_003513101.1	Clo1313_0114
ADU73461.1	Clo1313_0371
WP_003512454.1	Clo1313_1942
WP_003513374.1	Clo1313_3016
ADU75566.1	Clo1313_2562
ADU74339.1	Clo1313_1276
ADU73428.1	Clo1313_0337
WP_003515306.1	Clo1313_0374
ADU73243.1	Clo1313_0147
ADU73408.1	Clo1313_0317
WP_003519204.1	Clo1313_0805
WP_003517604.1	Clo1313_1689
ADU75968.1	Clo1313_2990
WP_003516419.1	Clo1313_0055
ADU75090.1	Clo1313_2049
ADU74422.1	Clo1313_1359
WP_003514130.1	Clo1313_2721
WP_003512422.1	Clo1313_1958
WP_003513610.1	Clo1313_2896
ADU74190.1	Clo1313_1126
WP_003515680.1	Clo1313_1150
ADU73621.1	Clo1313_0537
WP_003514500.1	Clo1313_0408
WP_014522648.1	Clo1313_2600
ADU74325.1	Clo1313_1262
ADU75956.1	Clo1313_2978
WP_003514832.1	Clo1313_0589
ADU74851.1	Clo1313_1795
ADU75657.1	Clo1313_2660
WP_003512368.1	Clo1313_1989
ADU74198.1	Clo1313_1134
ADU73629.1	Clo1313_0545
ADU74481.1	Clo1313_1419
ADU73826.1	Clo1313_0748
WP_003516302.1	Clo1313_1463
WP_080550893.1	Clo1313_1650
ADU75177.1	Clo1313_2136
ADU74694.1	Clo1313_1633
ADU73910.1	Clo1313_0841
WP_003517446.1	Clo1313_1014
WP_003516280.1	Clo1313_1475
WP_003517993.1	Clo1313_1725
ADU75647.1	Clo1313_2648
WP_003512352.1	Clo1313_1996
WP_003515025.1	Clo1313_0305
WP_003513411.1	Clo1313_2998
ADU73854.1	Clo1313_0781
ADU73344.1	Clo1313_0250
WP_003515856.1	Clo1313_2461
ADU74337.1	Clo1313_1274
WP_003518307.1	Clo1313_0835
ADU74224.1	Clo1313_1160
ADU73549.1	Clo1313_0460
WP_003512991.1	Clo1313_0177
WP_003513282.1	Clo1313_0020
ADU74399.1	Clo1313_1336
WP_003512309.1	Clo1313_2019
WP_003515536.1	Clo1313_1227
WP_003517805.1	Clo1313_2244
ADU75232.1	Clo1313_2192
ADU74643.1	Clo1313_1582
ADU75734.1	Clo1313_2750
ADU75661.1	Clo1313_2665
ADU74752.1	Clo1313_1695
WP_003519331.1	Clo1313_1913
WP_003514654.1	Clo1313_0461
WP_003517779.1	Clo1313_2256
ADU75011.1	Clo1313_1964
ADU74073.1	Clo1313_1005
ADU75286.1	Clo1313_2254
WP_003520985.1	Clo1313_1527
ADU73876.1	Clo1313_0804
WP_003512652.1	Clo1313_1851
ADU74768.1	Clo1313_1711
WP_003517871.1	Clo1313_2106
WP_003519144.1	Clo1313_1093
ADU73575.1	Clo1313_0486
ADU75889.1	Clo1313_2909
WP_003520602.1	Clo1313_1994
ADU73708.1	Clo1313_0628
WP_003517936.1	Clo1313_1761
ADU73569.1	Clo1313_0480
ADU75005.1	Clo1313_1958
ADU75895.1	Clo1313_2915
WP_003513811.1	Clo1313_2550
ADU74568.1	Clo1313_1506
ADU73446.1	Clo1313_0356
WP_003518315.1	Clo1313_0831
ADU73967.1	Clo1313_0899
ADU75071.1	Clo1313_2028
